,MSE
"DecisionTreeRegressor(max_depth=5, random_state=0) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",0.8247069877398718
"SVR(gamma='auto') - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'RH', 'A', 'B', 'O', 'SAR', 'SML', 'SMD')",0.8264670431665812
"KNeighborsRegressor(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8264762482423503
"KNeighborsRegressor(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'RH', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8270292478645196
"GradientBoostingRegressor(loss='absolute_error', max_depth=1, random_state=0) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'SAR', 'SMD')",0.8274035869760624
"DecisionTreeRegressor(max_depth=5, random_state=0) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'SAR', 'SML', 'SMD')",0.8292164882574637
"DecisionTreeRegressor(max_depth=5, random_state=0) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'RH', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8300081985780438
"KNeighborsRegressor(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",0.8300238728919058
"<__main__.MeanRegressor object at 0x000001472B5F4EB0> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8302049515372069
"<__main__.MeanRegressor object at 0x000001472AC9B730> - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",0.8319109922916457
"DecisionTreeRegressor(max_depth=5, random_state=0) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8322918007565073
"<__main__.MeanRegressor object at 0x000001472B4532B0> - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'SAR', 'SML', 'SMD')",0.8323410955020508
"DecisionTreeRegressor(max_depth=5, random_state=0) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'B', 'O', 'PHY', 'SML', 'SMD')",0.832506803215615
"<__main__.MeanRegressor object at 0x000001476AE9E100> - ('age', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",0.8327027213615213
"DecisionTreeRegressor(max_depth=5, random_state=0) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8335785390325203
"<__main__.MeanRegressor object at 0x00000147A37AE5B0> - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8340060347173412
"<__main__.MeanRegressor object at 0x000001478C02DD00> - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8345975365112175
"KNeighborsRegressor(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'SAR', 'SML', 'SMD')",0.8347722807298738
"<__main__.MeanRegressor object at 0x000001472ABD8F40> - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",0.8351237068489905
"MLPRegressor(hidden_layer_sizes=(100, 100)) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",0.8359574409908769
"<__main__.MeanRegressor object at 0x000001479529C8B0> - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8364803021140667
"<__main__.MeanRegressor object at 0x000001472B18E7F0> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'PHY', 'SAR', 'SMD')",0.8365016556192282
"MLPRegressor(hidden_layer_sizes=(100, 100)) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",0.8366384867930033
"<__main__.MeanRegressor object at 0x000001472E15EBB0> - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'SAR', 'SMD')",0.8367114350753786
"<__main__.MeanRegressor object at 0x000001472D8E99A0> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'SAR', 'SML')",0.8372541373190963
"<__main__.MeanRegressor object at 0x000001472F6897C0> - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",0.8372760408758906
"<__main__.MeanRegressor object at 0x000001472F7900D0> - ('age', 'cholesterol', 'hemoglobin', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8379191625935771
"DecisionTreeRegressor(max_depth=5, random_state=0) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8380516189550438
"<__main__.MeanRegressor object at 0x0000014788EAF250> - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML')",0.8385191673248633
"<__main__.MeanRegressor object at 0x000001479528AB50> - ('cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8390526066878531
"MLPRegressor(hidden_layer_sizes=(100, 100)) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",0.8392573691217763
"DecisionTreeRegressor(max_depth=5, random_state=0) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8397115088420671
"<__main__.MeanRegressor object at 0x000001472B0CD370> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML')",0.8398430168922797
"KNeighborsRegressor(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'RH', 'A', 'B', 'O', 'SAR', 'SML', 'SMD')",0.8399806681358306
"KNeighborsRegressor(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",0.8401973678685426
"RandomForestRegressor(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'B', 'O', 'SAR', 'SML', 'SMD')",0.8404166043233616
"<__main__.MeanRegressor object at 0x00000147910E92E0> - ('blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",0.8412294715992307
"<__main__.MeanRegressor object at 0x000001472ABEAA90> - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",0.8423697442934811
"<__main__.MeanRegressor object at 0x00000147952567F0> - ('cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",0.8428887283199821
"<__main__.MeanRegressor object at 0x000001472F35F250> - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8430920911629487
"DecisionTreeRegressor(max_depth=5, random_state=0) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",0.8435484307026995
"<__main__.MeanRegressor object at 0x000001472F652310> - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",0.8438236710228992
"<__main__.MeanRegressor object at 0x000001472F3B0AC0> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'B', 'O', 'PHY', 'SML', 'SMD')",0.8447784732474137
"GradientBoostingRegressor(loss='absolute_error', max_depth=1, random_state=0) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'SAR', 'SML')",0.845356438178419
"<__main__.MeanRegressor object at 0x000001472B14D700> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'SAR', 'SML')",0.8454848765462166
"<__main__.MeanRegressor object at 0x00000147A26EF730> - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8459274465461879
"MLPRegressor(hidden_layer_sizes=(100, 100)) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'weight', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8464423284421766
"<__main__.MeanRegressor object at 0x000001472DFFD970> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",0.8467332567380363
"KNeighborsRegressor(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",0.8479121858812142
"MLPRegressor(hidden_layer_sizes=(100, 100)) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'PHY', 'SMD')",0.8481660256572672
"MLPRegressor(hidden_layer_sizes=(100, 100)) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",0.8481744269456749
"DecisionTreeRegressor(max_depth=5, random_state=0) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'SAR', 'SML', 'SMD')",0.8491751635524689
"KNeighborsRegressor(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8495861979045222
"<__main__.MeanRegressor object at 0x000001472F67C490> - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",0.8498405302712315
"MLPRegressor(hidden_layer_sizes=(100, 100)) - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",0.8498415965916756
"<__main__.MeanRegressor object at 0x000001472AB90B50> - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SML', 'SMD')",0.8509241291160732
"<__main__.MeanRegressor object at 0x000001472B468490> - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",0.8510884095168162
"GradientBoostingRegressor(loss='absolute_error', max_depth=1, random_state=0) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'O', 'SAR', 'SML', 'SMD')",0.8512762803524382
"MLPRegressor(hidden_layer_sizes=(100, 100)) - ('age', 'blood pressure', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8520125600045537
"SVR(gamma='auto') - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'B', 'O', 'SAR', 'SML', 'SMD')",0.8525700769793687
"RandomForestRegressor(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'RH', 'A', 'B', 'O', 'SAR', 'SML', 'SMD')",0.8526742857448127
"<__main__.MeanRegressor object at 0x00000147941CA640> - ('blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'SAR', 'SML', 'SMD')",0.8527389039679466
"<__main__.MeanRegressor object at 0x000001472A9AED30> - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8531762036392427
"<__main__.MeanRegressor object at 0x000001478BFFBF10> - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8532257811249335
"<__main__.MeanRegressor object at 0x000001479E5864F0> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8532735939756766
"<__main__.MeanRegressor object at 0x000001479007A3D0> - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8535156989185051
"<__main__.MeanRegressor object at 0x000001479D4FAA00> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8542072268536227
"<__main__.MeanRegressor object at 0x000001478AFDAF70> - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.854383917693607
"<__main__.MeanRegressor object at 0x000001479842D700> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",0.856382023514185
"<__main__.MeanRegressor object at 0x000001478AFD5AC0> - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",0.856525105976767
"<__main__.MeanRegressor object at 0x000001472A7E8A00> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'PHY', 'SMD')",0.8567237673072168
"DecisionTreeRegressor(max_depth=5, random_state=0) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'O', 'PHY', 'SML', 'SMD')",0.8567433505520192
"<__main__.MeanRegressor object at 0x000001472DBE7E20> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",0.8572752340025763
"MLPRegressor(hidden_layer_sizes=(100, 100)) - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8575472960980004
"<__main__.MeanRegressor object at 0x000001472F6FCC40> - ('age', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",0.857607556837958
"MLPRegressor(hidden_layer_sizes=(100, 100)) - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8581159035639905
"<__main__.MeanRegressor object at 0x000001479D4E81F0> - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8581740483709644
"<__main__.MeanRegressor object at 0x00000147A4792850> - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8589680012812313
"<__main__.MeanRegressor object at 0x000001472F621AC0> - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8600299220703167
"DecisionTreeRegressor(max_depth=5, random_state=0) - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",0.861106027748955
"<__main__.MeanRegressor object at 0x000001472AD9A970> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'B', 'O', 'PHY', 'SML', 'SMD')",0.8648167323380418
"<__main__.MeanRegressor object at 0x000001472DB68100> - ('age', 'blood pressure', 'cholesterol', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",0.8660011268225783
"MLPRegressor(hidden_layer_sizes=(100, 100)) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",0.8663282309692064
"<__main__.MeanRegressor object at 0x000001479F6115B0> - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",0.8670421608114296
"<__main__.MeanRegressor object at 0x000001476AE07100> - ('age', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",0.867638971510563
"<__main__.MeanRegressor object at 0x000001472F6E4EE0> - ('age', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",0.8683526985556413
"KNeighborsRegressor(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'SML', 'SMD')",0.8687878641401113
"SVR(gamma='auto') - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'O', 'SAR', 'SML', 'SMD')",0.8698801991823698
"<__main__.MeanRegressor object at 0x00000147994B6130> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8700057287900865
"<__main__.MeanRegressor object at 0x00000147921279A0> - ('blood pressure', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",0.8702018392549273
"<__main__.MeanRegressor object at 0x000001472AF2AF70> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SAR', 'SMD')",0.870216017421547
"KNeighborsRegressor(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",0.8712054144259043
"<__main__.MeanRegressor object at 0x000001479426C7F0> - ('cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",0.8722518785981246
"<__main__.MeanRegressor object at 0x0000014794239EE0> - ('blood pressure', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8727031229937505
"<__main__.MeanRegressor object at 0x00000147A163E5B0> - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",0.8731185088113167
"DecisionTreeRegressor(max_depth=5, random_state=0) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8735700766621216
"<__main__.MeanRegressor object at 0x000001472A7495E0> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SML', 'SMD')",0.8736844677640185
"<__main__.MeanRegressor object at 0x000001472AB073D0> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'PHY', 'SAR', 'SML', 'SMD')",0.8745005455046737
"<__main__.MeanRegressor object at 0x000001478D0242E0> - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",0.8748765733410193
"DecisionTreeRegressor(max_depth=5, random_state=0) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",0.875009298480156
"DecisionTreeRegressor(max_depth=5, random_state=0) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'A', 'B', 'O', 'SAR', 'SML', 'SMD')",0.8751318852385872
"<__main__.MeanRegressor object at 0x000001472B122520> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",0.8753055249190627
"MLPRegressor(hidden_layer_sizes=(100, 100)) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'SAR', 'SML', 'SMD')",0.8759196860283744
"RandomForestRegressor(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'SAR', 'SMD')",0.8760429844884188
"<__main__.MeanRegressor object at 0x000001472DED0280> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'RH', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8763271590992374
"<__main__.MeanRegressor object at 0x000001472DCE61F0> - ('age', 'blood pressure', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",0.8765168833589867
"<__main__.MeanRegressor object at 0x000001472AEC3DC0> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'PHY', 'SML', 'SMD')",0.8765231195052092
"<__main__.MeanRegressor object at 0x00000147A26DEA90> - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",0.8766527260247748
"<__main__.MeanRegressor object at 0x00000147A26BE5B0> - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",0.8767973921593999
"DecisionTreeRegressor(max_depth=5, random_state=0) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8773791426645362
"MLPRegressor(hidden_layer_sizes=(100, 100)) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8778113416472362
"DecisionTreeRegressor(max_depth=5, random_state=0) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8781936223349674
"<__main__.MeanRegressor object at 0x000001479E5C3B50> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8782985406697886
"<__main__.MeanRegressor object at 0x000001478AFD1C10> - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'SAR', 'SML', 'SMD')",0.8784675116819965
"DecisionTreeRegressor(max_depth=5, random_state=0) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",0.8786295483683639
"MLPRegressor(hidden_layer_sizes=(100, 100)) - ('age', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8788325409056871
"<__main__.MeanRegressor object at 0x0000014792133700> - ('blood pressure', 'cholesterol', 'hemoglobin', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",0.8788694551486447
"<__main__.MeanRegressor object at 0x00000147983D9760> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'SAR', 'SML', 'SMD')",0.8797225733872331
"<__main__.MeanRegressor object at 0x000001472E2AF580> - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SML', 'SMD')",0.8798603940727968
"<__main__.MeanRegressor object at 0x000001472F4D82E0> - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",0.8800886179587029
"<__main__.MeanRegressor object at 0x000001472F707040> - ('age', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",0.8809368999738186
